,question,humor
1630,"How come my alexa is clueless on the most basic question? I'll ask ""who is the star of terminator 2?"" and she'll say she has no idea 90% of time",True
1631,Can alexa prompt me to solve an algebra problem etc. when my alarm sounds to wake me up in the morning? (i'm a deep sleeper lol),True
1632,Will alexa taking over my life? will alexa becomes me or me turn into alexa? i'm scared.,True
1633,Can Alexa turn into Alex? Just a curious question :),True
1634,"The echo dot product page advertises that you can ""call dad"" but i don't know who my dad is. does this mean alexa will find who my dad is? :)",True
1635,what if i have a daughter named Alexa? Can I rename the unit?,True
1636,How long does it take before the government will be able to hear my conversations?,True
1637,is this thing going to finally kill me?,True
1638,Can this thing help fill the empty void in my life?,True
1639,Is it involved in the C.I.A,True
1640,Will Alexa laugh at my jokes?,True
1641,Are we still stuck calling these things Alexa? I want to rename it to Quan.,True
1642,Will this thing help me become a chick magnet?,True
1643,Can I play hockey with the Dot?,True
1644,Does Alexa get mad?,True
1645,My two daughters are alexa and echo. my dog is named amazon. will this cause issues?,True
1646,What did the fox say?,True
1647,this is connect with CIA ?,True
1648,Is this thing a secret war tool?,True
1649,Can I eat it on a patty,True
1650,Where's the baby??,True
1651,Does it cut through dragon flesh,True
1652,Is this sword suitable for recapturing the Holy Land?,True
1653,Zombies?  Effective enough?,True
1654,How fast can I retake the Holy Lands with this?,True
1655,Does anyone notice the picture of the man driving and praying at the same time? Jesus take the wheel!,True
1656,does the man come with it,True
1657,can I time travel and teleport with this keyboard? will all my dreams come true? if not then its not worth 1000$,True
1658,I heard this keyboard can bring my dead parents back for only an extra $90000 down payment is it true?,True
1659,Will this keyboard type out the answer to the universe and everything else in it?,True
1660,if i were to rub this keyboard will a Genie appear?,True
1661,If get this cable will i get free college,True
1662,Is this how Chuck Norris watches TV?,True
1663,does it cure cancer?,True
1664,Will this cable brush my teeth wipe my butt or comb my hair?,True
1665,If I bring girls over with this cable is it guaranteed to get me laid?,True
1666,Can these safely transport humans? I need a patch cable for the Heisenberg compensator in my transporter and this looks like it might fit.,True
1667,Is it true that plugging this into my TV creates a portal to another dimension?,True
1668,Should I be afraid of this cable?,True
1669,i dont have any money to feed this. does it like cookies?,True
1670,is there sherpa on this throw?,True
1671,Really? Did the Vikings shave? Nice ad though!,True
1672,I was under the impression that vikings didn't shave? Was history incorrect?,True
1673,Were these safety razors actually manufactured and used by the Vikings in the late 8th century?,True
1674,Were these safety razors actually manufactured and used by the Vikings in the late 8th century?,True
1675,pubic area,True
1676,Didn't Vikings have beards?,True
1677,Didn't Vikings have beards?,True
1678,is this bat good for killing evil clowns,True
1679,clowns,True
1680,is this bat good for killing clowns,True
1681,would a 2 x4 make more since just a piece of wood if your killing someone?,True
1682,Goodnight friend if para saber wanted serves Venezuela And Bringing the phone,True
1683,Recommended by 9 out of 10 environmentalists. Why does the 10th environmentalist not recommend this product?,True
1684,Will eating these Make America Great Again?,True
1685,Does it have the real magic?,True
1686,What if you dump it in the aircraft while your in the aircraft? Are you removed with it?,True
1687,Am i reading this correctly? does this product remove any aircraft? how much would i need to remove my dad’s cessna from my back yard?,True
1688,Can they take my Physics Exam for me?,True
1689,can they eat burgers,True
1690,Does it work on Donald Trump?,True
1691,Does it work on Donald Trump?,True
1692,will this product work on my in-laws?,True
1693,how do you rest your life?,True
1694,What happens when you run out of lives ?,True
1695,If i buy this stand is it a guarantee that I will get a girlfriend due to its modern design? I currently have a gorilla back tv so im lonely.,True
1696,i heard the Wizard of Oz made this formula is this true?,True
1697,Hello with this help me win the Matrix?  Having Neo in my pocket at all times will be helpful.,True
1698,Do your chickens have large talons?,True
1699,If I play this game will it make me a weeaboo?,True
1700,Why hath thou failed me Squeenix?  In 2006 I asked for one thing: The release of KH3 before I turn Thirty. 12-31-15?  Exactly 1 year too late :\,True
1701,Can she poop,True
1702,Is this knife good for zombie defense?,True
1703,My question is where do I get the disposable income necessary to buy a $5000 plastic model?,True
1704,For this amount of money will it actually fly in space?   :),True
1705,"Will I be able to fit inside it?  I am 6'1"" 240lbs",True
1706,For this price does it come with a hyperdrive ?,True
1707,My question is where do I get the disposable income necessary to buy a $5000 plastic model?,True
1708,$5K is that insane?  Lol. I'm not,True
1709,dose the girl come with it,True
1710,Will it make me poor?,True
1711,So GM is skipped and uses some mysterious pins?,True
1712,Will gas stations get after you when filling since they arent red?,True
1713,If I wore this in certain communities would my life be in jeapordy?,True
1714,Will this product work well on clowns?,True
1715,Can you go inside?,True
1716,Can it execute order 66?,True
1717,Will I get girls with these shoes on?,True
1718,can i replace this with my vacuum cleaner?,True
1719,So if I pay you about 13 million dollars I can have my very own pet black hole? Ma will be so proud of me!,True
1720,Can you divorce your wife in FOMT? Thanks.,True
1721,Would someone's pet Panda Bear try to eat this keyboard? Asking for a friend.,True
1722,Will my pet panda bear want to eat this?,True
1723,Is this bean bag made from farts?,True
1724,Can it still be used/applied if you have dingle berries?,True
1725,This is a joke right?,True
1726,Are these descreet? I.E can they be seen while wearing,True
1727,Does this camera come with a frog tongue? And if so is it the kind that stays over the picture while it develops or the kind that rolls back in?,True
1728,Can u time travel with this,True
1729,Can I see the future with these glasses?,True
1730,Can you send to sun and moon,True
1731,Can you send to sun/moon?,True
1732,Are the kids included with the $8 or is that a separate fee???,True
1733,Will i be able to buy this even if Trump wins the election?,True
1734,I fi stab it in snow or my house will it g break the house or snow,True
1735,Will more of these be made in the future?,True
1736,Can this be used to assassinate members of the Knights Templar?,True
1737,10.00 for only one can of chicken? is it magical?,True
1738,Who the hell needs handcuffs?,True
1739,will this make me a pig?,True
1740,how many hours of school will i miss because of this?,True
1741,how many hours of school will i miss because of this?,True
1742,does it include the actual pipboy?,True
1743,Can these slay a dragon or do i have to buy an extension cable,True
1744,Does the purse (alone) come w/a shoulder strap too? Does wallet come w/shoulder strap as shown? And WHY are so many women carrying guns?!,True
1745,Does I actually perform magic tricks,True
1746,Is it illuminating?,True
1747,"Will this increase the power or duration of my spells? can i perform the taboo ""phallusicus grandiouse"" spell with this? (for a friend of course)",True
1748,Does it do magic,True
1749,I don no etnithing about harry potter 14 inch collectable,True
1750,Does this wand produce a corporeal patronus of a stag in real life?,True
1751,does this wand cast spells,True
1752,does it do anything?,True
1753,will this wand work at universal studios?,True
1754,does it work in harry potter world?,True
1755,Is it from Ollivanders?,True
1756,May I get one seller'kiss if I buy this headset?,True
1757,Will this lead to my divorce?,True
1758,Can i get a shiny red box to go along with my kickstarter shiny red box? nazi gold preferred but will settle for jew gold.,True
1759,Is this enhancement guaranteed to increase the size of my deck?,True
1760,Um.... can I pay the iron price for this game?,True
1761,Does it come with the cute girl?,True
1762,how much will my life change after purchasing one of these units? will i finally find the purpose and meaning I've been searching for all this time??,True
1763,Why why why does it not come with Zombies ate my neighbors?,True
1764,Will Reggie do a surprise dance when the game loads up?,True
1765,If I pray to baby Jesus every night will I get an email to pre order this ?,True
1766,Where all my scalpels at? :) before this gets released jump off a 7 story building. That's what the Nintendo Lord wants!,True
1767,How many liters of blood do I need to give Nintendo for one of these systems?,True
1768,Will my body be ready?,True
1769,Will Emma Watson love me back if I buy this?,True
1770,Will this suffice as a gateway to take me back to a simpler time?,True
1771,Can I sip from a batman forever mcdonalds mug while playing this?,True
1772,Will I have to offer up my first born child?,True
1773,Do I have a better chance of riding a unicorn than being able to buy this at retail?,True
1774,Need to make $$$ but I have no job. Would it be worth it to buy more than 10 of these?,True
1775,Will Santa deliver it?,True
1776,Also if I buy this for a friend and then keep it for myself does that make a bad person?,True
1777,Wait. Does the software include the ability to create a Living Trust?,True
1778,Will these control my optic blasts?,True
1779,So how did you get Jessica Rabbit to model for you?,True
1780,Does everyone have worms?,True
1781,How long will I be burping garlic??,True
1782,Are you this capsules save for children?,True
1783,Is this real? am i in heaven? i think i just had a heart attack.,True
1784,Does it cut cars in half?,True
1785,Are all the one star reviews real? do you guys think that if shtf or zombie apocalypse outbreaks then i can use this to crack open a zombie skull?,True
1786,will this necklace be competely magical?,True
1787,Is it real chicken?,True
1788,how are these against a zombie head?,True
1789,Is this one of the Seven Dwarfs?,True
1790,Will this turn me into a mind-controlled pawn of the Ktarians as they use the device to gain control of Starfleet?,True
1791,Does anyone here think I'm a failure because I go home to Starla every night?,True
1792,Will these aid me in quest to slay the mighty dragon?,True
1793,what does fruit and water have to do with maximum weight loss? seems like a major stretch in advertising. will it do my taxes also?,True
1794,Will this help me out during a zombie apocalypse?,True
1795,Is there any way to reset the date for when impeachment begins?,True
1796,If I buy this Do I become black?,True
1797,Does Jesse Pinkman own this?,True
1798,Can I mount this on my forehead so I can order from the gym because I'm in the gym lifting stuff like 24hrs a day?,True
1799,How does the Push Button know which flavor(s) of gatorade to order/re-order?,True
1800,How fast will I receive this product once I press the button?,True
1801,Does this only order Gatorade or can you make it order other things?,True
1802,Looks like a dumb idea with todays technology. Have 100 buttons or just use your phone?,True
1803,Is it compatable with my girlfriend?,True
1804,Can I use a dash button to support local family run business or only amazon selected multination corporate conglomerates?,True
1805,Jebus Christ this looks terrifying do you think I can strike fear in the hearts of evil doers in this?,True
1806,Does the kid come with it...jk,True
1807,Will this sword make me invincible against zombies?,True
1808,Can I use this if I'm not wearing heels and a skirt?,True
1809,Do the women come with this product? If so I'll take 3 orders.,True
1810,Does the woman come with desk?,True
1811,Is the young woman included in the order?,True
1812,Is the old lady included?,True
1813,Does the product come with a lady wearing heels?,True
1814,Who's the woman in the first photo she's gorgeous!,True
1815,Can I use this if I'm not wearing heels and a skirt?,True
1816,Who's the model in the first picture!? <3 O.O,True
1817,Will this get me out of speeding tickets?,True
1818,watch help in changingthe time,True
1819,Can I buy the guy ?,True
1820,Will these make my poop sparkle like unicorn poop? Unicorns are my favorite.,True
1821,Would a unicorn steal it from me?,True
1822,Can i inivite them to my home,True
1823,What is the sex of the invisible unicorn?,True
1824,is this joke. invisible ok... real. I no think unicorn is real no?,True
1825,Does anyone know if I can cross breed this with my invisible pegasus?,True
1826,Is this free range invisible unicorn? I won't butcher and eat just any old unicorn.,True
1827,What does this invisible unicorn eat? How messy is it? I'm thinking of buying one for my daughter but I want to make sure she can handle the upkeep.,True
1828,The unicorn I received was very visible. Is there an incantation I can use to restore its previous invisibility or should I send it back?,True
1829,Does anyone know why invisible unicorns aren't available on Prime?,True
1830,If I spray it on myself & go interview to become a stripper will they hire me based on experience?,True
1831,Is it good enough to defend soldiers from zombies?,True
1832,Does this lower my chances of dying in a car wreck caused by watching movies while driving,True
1833,Can I attach this to my wife's face so that I don't miss any precious phone-time when she is yelling at me about spending too much time on my phone???,True
1834,Is this real money?,True
1835,dose it make mony or is it a trick,True
1836,can it make me rich,True
1837,Can u actually spend this money,True
1838,Have you tried using a counterfiet pen to make sure it seems legit?,True
1839,can you use the money to pay people,True
1840,does it make real money,True
1841,Can the money be real money so that you can buy stuff with,True
1842,Can I buy stuff with it like a game,True
1843,Is the money real,True
1844,"Why do people keep asking the same stupid question ""can you spend the money you make with it""? It's obviously just a trick. Read the description!!",True
1845,Does it make real money,True
1846,Does it give you real money,True
1847,Can you use the money,True
1848,can I the spend the money,True
1849,Im very confused someone told me is just a trick others told me it prints out real money?,True
1850,Can you actually buy stuff?,True
1851,can you spend this money,True
1852,Does the money feel real?!?!,True
1853,Can u buy a ps4 with the fake money,True
1854,So will I be printing my own money ?,True
1855,How do we get more ink rolls,True
1856,Is this real money?,True
1857,isn't this illegal?,True
1858,My neighbor and his whole family are all pest will this work on them? :),True
1859,At that price does it wipe my butt for me?,True
1860,Does it come with that insanely masculine hunk of a man?,True
1861,Will this figure try to kill me?,True
1862,Will this keep bible salesman from knocking on Sunday?,True
1863,Is it true Cold steel is coming out with the Lorena Bobbit commemorative ?,True
1864,My girlfriend left me for a guy wearing this shirt will i get her back if i buy two of these and wear both?,True
1865,will this look good next to my 300000 dollar gold strawberry jam,True
1866,Excuse ne but is it gluten-free?,True
1867,Can you become a Super Saiyan with this?,True
1868,How many dolphan tears and time travel stones is it made of?,True
1869,Does it come with a bandana and an eye patch?,True
1870,Will it let me be able to go bck in time to regret my decision buying it?,True
1871,Does this watch automatically detect Pokemon?,True
1872,Does this watch represent satanic powers? the price has a hidden code 666 in it. ($85666.00). if i buy this on 6/6 at 6:66 do i get special powers,True
1873,Where do I sell my children? I need to have this watch,True
1874,Does this come with a real panda?,True
1875,Can I get this watch with the souls of the damned impregnated into the casing or will I need to go to an outside vendor?,True
1876,Received me watch t'was to come with free shippin' but where be the ship?  Me mateys are growin' restlesss arrr.,True
1877,Is this an authentic time piece directly from the teasure of one-eyed Willy?,True
1878,"I would like to thank the maker of this watch.My entire life i mistakenly thought the roman numeral for four was ""iv"". now i know it's really ""iiii""",True
1879,Does this watch connect to Siri?,True
1880,Is there a version with a backlight? It's hard to see in my mother's basement,True
1881,can the giant orange baby wear this hat in prison?,True
1882,Do you become racist sexist xenophobic white trash after buying the hat? Or is that a prerequisite for purchase?,True
1883,If i wear this to trader joe's can you guarantee that i will be assaulted?,True
1884,Will this hat turn me orange while simultaneously decreasing my ability to speak coherently? I am bigly concerned about this...,True
1885,Do I have to be stupid/ignorant to buy this hat?,True
1886,Will this hat lower your IQ?,True
1887,will this hat get me lynched?,True
1888,Will I become a racist if I wear this hat?,True
1889,Will these hats make america great again use all maga hats as land fill to fill the gop cesspool and swamp in washington dc !!!,True
1890,how many immigrants should i physically and verbally harrass before im worthy to buy this hat?,True
1891,Does this hat protect you from alien mind control?,True
1892,Does the hat actual reduce IQ of the person wearing it?,True
1893,I put the hat on and something weird happens to me.  Why do I feel like taking care of my own needs and keeping more of my own money now?,True
1894,Will this make the wall stronger?,True
1895,does this come in the size fascist?,True
1896,If I buy this will I turn orange? Asking for a friend.,True
1897,why would I buy a hat supporting a traitor to our great country?,True
1898,Will this hat make me lie?,True
1899,smashed in a flimsy envelop. no dout a trump haters?,True
1900,Will I be able to afford this hat after I do my taxes this year?,True
1901,How many more iq points do i lose when i wear this hat?,True
1902,If I wear this hat does the devil automatically get my soul?,True
1903,If I wear this hat will I loose brain cells or get cancer?,True
1904,Is this hat magnificent and will I never get tired of winning???,True
1905,Why am i seeing this shit of a hat,True
1906,When will this start making America great again? I'm still waiting.,True
1907,Will it give me super powers that mimic trumps powers?,True
1908,Will the M7 kill zombies?,True
1909,Do i have to be a photographer,True
1910,Is the guy included?,True
1911,Do I need a dog to purchase this?,True
1912,How long until Hilary Clinton tries to ban these from being sold?,True
1913,The girl is so hot???,True
1914,It looks kind of sloppy. Does it come with the son the father and the holy ghost?,True
1915,Do these have the mother in them?,True
1916,Will this let your neighbors know what an audio terrorist you are to their rights to peace and privacy in their own homes?,True
1917,Can I use these to help me with the election?,True
1918,does HDMI bites pepole,True
1919,does HDMI bites pepole,True
1920,does HDMI bites pepole,True
1921,does HDMI bites pepole,True
1922,is it evil,True
1923,does HDMI bites pepole,True
1924,If I pulled that off would you die?,True
1925,If I buy this and die young will you get it out of my house before my parents find out that I'm a monster?,True
1926,Does this doll's breasts come in B cups?,True
1927,How to sex with doll??,True
1928,Are the breasts hard but soft or soft and bouncy like a real woman?,True
1929,does the wand cast real spells,True
1930,Does Voldemort's wand come in the Ollivander box as shown in the item picture?,True
1931,Is it this the same item as the one from Harry Potter shop ?,True
1932,I have a baby velociraptor that jumps very high and has razor sharp teeth. I was just wondering if he would be secure behind these bars?,True
1933,When a dog has an accident... is this smart enough to not SMEAR IT ALL OVER THE HOUSE :(((((((,True
1934,Does it come with a free cat?,True
1935,I have cats.  What happens when Roomba encounters a puddle of cat vomit...or worse? Does it spread it all over the floor or does it avoid the area?,True
1936,what happens if you find a naked guy in the box instead of the airsoft gun?,True
1937,Can you eat the gun?,True
1938,Does the scope work or is just for looks?,True
1939,If I drink this tea can I beat Chuck Norris in everything,True
1940,Does it protect you from the black plauge,True
1941,Will harambe come back when I wear this?,True
1942,How much meat is needed to feed another unicorn?,True
1943,Are these free range Unicorns or are you buying this product from one of the Unicorn mills run by the evil master of Magnon?,True
1944,Am I high? Is this real?,True
1945,can you reseal the can after you open it or is the can just sharp trash after opening? p.s. i am NOT asking to substitute unicorn parts for baby griffins,True
1946,if I consume this will I poop rainbows?,True
1947,Will I grow closer to god by eating this? (unicorns are mentioned in the bible),True
1948,“What happens when you cook dragon meat and unicorn meat together?”,True
1949,Where did you find the unicorns to get the meat?,True
1950,Does it give you the rainbow runnies?,True
1951,Exactly what part of the unicorn was used to make this unicorn meat? I've heard that the horn has certain... aphrodisiac properties...,True
1952,Does anyone know if canned unicorn meat goes bad? I blew up my Growth Ray on a package of Norwegian Ridgeback that I ordered from Romania.,True
1953,I really enjoy eating Unicorn meat. However it makes me fart rainbows and there's glitter in my shit. How do I fix this and still eat Unicorn??,True
1954,What will happen if you feed unicorn meat to a cat? Will if fart rainbows?,True
1955,Having a huge Game of Thrones party for the season 4 premiere can you accommodate an order for 10000 cases?,True
1956,Can you eat it?,True
1957,Dose the meat make you invisible,True
1958,Was Christopher Columbus a pirate?,True
1959,Can unicorns become zombies? If so can the zombie unicorn meat be used accidentally in this canned product? Because I have a craving for brains.,True
1960,if I eat this will I be a cute unicorn. you are what you eat,True
1961,Do you harvest the me before or after collecting the sherbet/ice cream? We don't want there to be a world-wide shortage of rainbow sherbet!,True
1962,Dose this also include unicorn blood? Is the eyes also in the can? Unicorn eyes are my favourite snack!,True
1963,Is there such thing as unicorns? I thought they were only in fairytales?,True
1964,Will PETA come after me for this?,True
1965,Is it really unicorn or do they use horse?,True
1966,What is a good unicorn meat recipe? I'm trying to impress my husband and I don't want him to just have to come home to plain old canned unicorn...,True
1967,For reals tho what meat is this? Unless it's a rhino it's not a unicorn,True
1968,Can this be ordered in bulk??,True
1969,Does the meat come from MLP-type unicorns or the Harry Potter type?,True
1970,Is it fair trade unicorn meat?,True
1971,If I give this to my little girl will it make her shut up and stop crying? man she is annoying!,True
1972,Ok Seriously What the hell is in the can!,True
1973,Does it give you ever-lasting life?,True
1974,Is it true that satan was the inspiration for this toy?,True
1975,do you believe in love after love?,True
1976,Does this kill vampires?,True
1977,Are there fees associated with contacting the CIA?,True
1978,What if someone in your household is name Alexa?,True
1979,Will it answer college chemistry questions?,True
1980,Is it easy to change between different wife's,True
1981,Is alexa just another patriots hater? i asked who would win the super bowl and she said the falcons.,True
1982,I was thinking to buy this for the drug dealer in my apartment building will he be monitored by the government through it?,True
1983,can i use this to control my wife?,True
1984,Should I buy the wrong assemblies of goods at the same time will Echo turn me into the Cops?,True
1985,can the government listen in to your house?,True
1986,Can Echo deal with my calendar and my husbands?,True
1987,How can you tell if the CIA is hearing the stories you're telling them or not?,True
1988,Does echo have artificial intelligence enough to be able to flirt with me and possibly become my girlfriend like in the movie 'ex machina'?,True
1989,Can Alexa feed my Dog?,True
1990,"What if you're interested in this but can't stand the thought of having to call out ""Alexa""?  like in this was the name of husband former girldfrien",True
1991,Will the Echo make my breakfast for me in the morning including coffee?,True
1992,does the echo spy on your household?,True
1993,Always on...makes you wonder who is listening up there in the cloud.  Can Alexa be subpoenaed?,True
1994,How can you tell if the CIA is hearing the stories you're telling them or not?,True
1995,Would this work on vampires?,True
1996,Can i use it against ISIS?,True
1997,So if i buy this my bank will see i am a terrible gamer? then they'll tell their families?  after a while it'll get back to my parents?,True
1998,If I wear this mask is there any risk of being thrown in jail?,True
1999,Will this make me breakfast?,True
2000,Does it need a Mr. Miyagi's professional skill? Wax on was off lol,True
2001,My cat does not like this thing and attacked it severely. Cat was winning but I went to full power and cat lost.  Anyone know a good cat vet?,True
2002,Im a jedi knight. If i buy this  do you think people would know im a jedi?,True
2003,how many times must you died before you get good?,True
2004,Will this fix my marriage?,True
2005,Is this my life purpose?,True
2006,Is your body reggie!?,True
2007,Are you feeling it now mr krabs?,True
2008,Will trump be a playable character?,True
2009,Falcooon paunch!!,True
2010,If I wore this mask while swimming in the ocean would it keep me safe from other would-be-shark attackers?,True
2011,Are the fans made out of our galaxy?,True
2012,Is he the metal cat waving at me on the big rock?,True
2013,Is the dog included?,True
2014,Is the dog in the picture included,True
2015,Will wearing this shirt really make my wife a doctor?,True
2016,Had Bic done research that showed this was a neglected female need?  Or are they just idiots.,True
2017,Is this a translation error? Is this a pen for writing on a woman's very small crystal ball? Is the ball is 1mm or 16ct?,True
2018,Do these pens make your butt look big?,True
2019,Is 1 mm the ideal size for a woman?  I'm not a teenager but I don't want to look like an old lady either.,True
2020,I don't usually give my woman pens out to men but if a man takes my pen without my permission is that my fault? What if it's my husband who takes it?,True
2021,"Can I still use these if I have ""man hands""?",True
2022,why do you fight against the bad guys,True
2023,can i call for the tigerzord??,True
2024,Is it true that people will believe anything? Also doesn't Himalayan Salt cure healthy disbelief?,True
2025,How can I get out my marriage?,True
2026,Will RestOn know if Iâm intimate with my partner?,True
2027,Will RestOn know if Iâm intimate with my partner?,True
2028,Is he mad because he doesn't have wings,True
2029,Will this bring Hellraiser?,True
2030,If i buy these window curtain tieback clips  would my girlfriend marry me ?,True
2031,Does the auto-off feature restart whenever the weight changes or is it a fixed 2min you're out of luck after that? Will it resume where it quit?,True
2032,Does it come with the watermelon?,True
2033,What’s up with the 9$ shipping? Is this coming from Saturn?,True
2034,Jesus forgives you all?,True
2035,will this take me to hell? Asking for a friend....,True
2036,will this stick to my mum?,True
2037,Will this stick to my soul?,True
2038,Will this stick to a rubber fist?,True
2039,Can you get one to say 666 instead of 999?,True
2040,Will this stick to a rubber fist?,True
2041,Y’all dumb,True
2042,Y’all going to burn for all eternity 🤦🏽‍♂️,True
2043,Will i look hairy like bigfoot ?,True
2044,If i buy these will i be inducted into the purdy gang?,True
2045,What is the point of this?,True
2046,Can aliens wear these?,True
2047,What color socks come with these glasses?,True
2048,"What's the ""anti-thunder protection""?! LOL!",True
2049,Does this come with a genie?,True
2050,does the lamp contain an actual Genie inside?,True
2051,Does the Amiibo work for the 3ds?,True
2052,Does this figure give ufo power?,True
2053,can this be used with the switch?,True
2054,Does the cat like it?,True
2055,will this open my house door yes i got locked out lol !!! and what other locks will it open  answer fart back please thank you,True
2056,If you're a teacher at a high school how do you purchase this?,True
2057,Lol,True
2058,Can you buy stuff with this,True
2059,Can you buy stuff with this,True
2060,Does it make wishes come true,True
2061,The baby in the picture.  She's falling to her death right?,True
2062,Could it last through the apocalypse?  because that is what i'll use it for.,True
2063,Can it Cut Through flesh?,True
2064,is this an effective dragon slayer,True
2065,If swallowed correctly will this sword give you the abilities of a dragon?,True
2066,Can it slay a dragon? Does it hold up well against,True
2067,Really cut meat? How sharp is it?,True
2068,Can I make a religious shrine for him and pray to it?,True
2069,Can I eat it?,True
2070,How do you overcome the temptation of ripping every wall in your house down with this?,True
2071,Can this be used against zombies?,True
2072,Would this be an effective melee weapon against an incoming zombie hoard?,True
2073,Is Jibo a good boy?,True
2074,My brothers favorite color is red so does this come in blue?,True
2075,Why pay for nothing?,True
2076,Is this about right...Moral to the story is people are getting rich off of absolutely nothing,True
2077,it tastes like meat is that normal?,True
2078,Can I exchange something for nothing?,True
2079,They say too much of anything is a bad thing...is it ok if I order a lot of nothing? What if nothing arrives after Christmas?,True
2080,If I was was given this as a life achivment award sholud I take a hint?,True
2081,Why did this come with something? it came with a package cardboard and air,True
2082,Is this the “nothing” that was in “the neverending story” movie?,True
2083,can you toch it,True
2084,What is a dad grandad grandma auntie uncle niece nephew brother sister boyfriend girlfriend husband wife teenager?,True
2085,If it bleeds does that mean I can kill it?,True
2086,Does it include Donald Trump?,True
2087,I received the dog today but it doesn't breath!  What to do?,True
2088,Does it come with the dog?,True
2089,Have anyone tried this on theirs husband yet?,True
2090,Is the girl included?,True
2091,Could you put sergeant stripes on a cat,True
2092,may i take the i phone without give you money?because i do not work. i don't have money.,True
2093,Did you poop on it,True
2094,Will this product give me superpowers?,True
2095,Very cool looking claws. Are they available in adamantium? Haha just kidding :-),True
2096,Very cool looking claws. Are they available in adamantium? Haha just kidding :-),True
2097,do they scratch pans?,True
2098,Did you get these swords from jet's dead body?,True
2099,Does this come with the girl and the dress? I wish all my electronics came with these items.,True
2100,Are these boots made for walking away from reality? Or from walking away from what's good and what's right?,True
2101,i have two job offers. can i use this to weigh my decision?,True
2102,Can this scale measure intelligence?,True
2103,Do these pillows come with a genie that grants wishes or something for $150?,True
2104,When will time improve?,True
2105,CAN IT SHOOT PELLETS OR JUST BB'S?,True
2106,Will it fend off spooky clowns?,True
2107,Can you store woth co2 inside,True
2108,Could i fight a hoard of walkers with this?,True
2109,End of the world zombie ready?,True
2110,"So will this work in a zombie apocalypse or as 10 year old jeremy on youtube(look it up) calls them ""demon aliens that are going to eat people"" ?",True
2111,Can i feed it to my dog? The vet said he needs some iron in his diet.,True
2112,Dose the pill make male pregnant?,True
2113,If I buy one of these will I get a supermodel wife and drive a Ferrari?,True
2114,Can you use this drive to check your prostate?,True
2115,Is the force included?,True
2116,Were these the shoese that allowed Jesus to walk on water?,True
2117,but does it crank? lol.,True
2118,Is it made from real unicorns?,True
2119,Can this bag read my mind?,True
2120,Does it slay dragons?,True
2121,Can you verify that this owl has not been loitering outside?,True
2122,If i buy this knife will it make me like bear himself?,True
2123,Why are you selling a box of fake cigars. that warranty code of the habanos sa website sayshsa: 10.9047.26.0191  descripcion: romeo y julieta churchil,True
2124,can someone ride it,True
2125,Does it have 10000000000 wheels,True
2126,Can I get a free sample? I will share it with lots of people to have them buy your product.,True
2127,I have trouble seeing at night. Is a driver available as an option and does he come with a uniform?,True
2128,Will santa deliver the sleigh in his sleigh?,True
2129,Funniest group of Q &amp; A  ever. I will inform Santa you are all so knowledgable of his product.,True
2130,Does Santa even have his license?,True
2131,How much are you going to change the spirit of Christmas?,True
2132,How many 12oz milk holders does it have?,True
2133,Will it bring my family jou for this christmas? Our family is too poor to celebrate...,True
2134,Willl it partner worth ram trucks so i can get a cummins or a hemi?,True
2135,Will Santa let me ride with him? I am way over 21. If so will he bring me home?,True
2136,does it come with reindeer,True
2137,Does it come equipped with gps?,True
2138,Can anyone but Santa drive it?,True
2139,Can i get wings on the sel version? it's not like the v8 isn't enough but when ya gotta fly well you know!,True
2140,Does it include a round trip to the north pole to santa's factory?,True
2141,Is there a cot in the trunk for Mrs. Clause to nap during the deliveries?,True
2142,What? No Reindeer???,True
2143,Does it have a hot chocolate and cookie dispenser?,True
2144,Can it carry adult beverages?,True
2145,Can the reindeer be included just for nostalgic reasons?,True
2146,Are elves sold separately?,True
2147,does it come with reindeer,True
2148,Is this street legal?,True
2149,Can i get wings on the sel version? it's not like the v8 isn't enough but when ya gotta fly well you know!,True
2150,Do the Reindeer get along with dogs?,True
2151,Who is the owner of the manufacturing company?,True
2152,I have trouble seeing at night. Is a driver available as an option and does he come with a uniform?,True
2153,This eyeglass repair kit look more like silverware to me. Am I supposed to eat my glasses to have it repaired? Asking for a friend.,True
2154,Can I grow dank weed with these lights?,True
2155,If I send this to the liberals in my neighborhood will it stop their river of tears or will they remain butt hurt for the next 4 years?,True
2156,Does this come with Obama?,True
2157,Is there cellulite on that bigly butt?,True
2158,Are these made of magic?  Can they make things appear out of nowhere?,True
2159,Does it come with the girl?,True
2160,if you can read this wouldn't that mean you're already down for the count?,True
2161,Will playing this game make me cool and help me find a girlfriend?,True
2162,I have a dumb question needs to answer. Was it dumb?,True
2163,How much would it take for it to break because i use swords for many many things including cutting down trees.,True
2164,Is the pommel peened or threaded? I see both in the current answers,True
2165,The question really is: Does this dog hunt?,True
2166,is it good for dwarf bunnies,True
2167,Would it fit an adult bearded dragon?,True
2168,would this make a good harness for an adult hooded rat?,True
2169,does it poop or pee,True
2170,Will peter parker still feel so good after I snap my fingers ?,True
2171,Will it fit a child's hand? I'd love to give one to Gamora.,True
2172,Am I able to stop the noises from the gauntlet if I were going to take it to the premier?,True
2173,If I kill Thanos and kick the gauntlet into the sun what will happen?,True
2174,Would I be able to snap myself out of existence?,True
